igr	n_isolates	prevalence	avg_len	is_core_igr
Cluster_8278	1228	0.9976		True
Cluster_21681	1228	0.9976		True
Cluster_26027	1228	0.9976		True
Cluster_20007	1228	0.9976		True
Cluster_9784	1228	0.9976		True
Cluster_10575	1228	0.9976		True
Cluster_738	1228	0.9976		True
Cluster_25931	1228	0.9976		True
Cluster_19222	1228	0.9976		True
Cluster_23357	1228	0.9976		True
Cluster_15603	1228	0.9976		True
Cluster_20364	1228	0.9976		True
Cluster_16487	1228	0.9976		True
Cluster_11384	1228	0.9976		True
Cluster_16497	1228	0.9976		True
Cluster_19341	1228	0.9976		True
Cluster_7819	1228	0.9976		True
Cluster_25710	1228	0.9976		True
Cluster_23851	1228	0.9976		True
Cluster_8712	1228	0.9976		True
Cluster_20269	1228	0.9976		True
Cluster_26029	1228	0.9976		True
Cluster_8053	1227	0.9968		True
Cluster_23833	1227	0.9968		True
Cluster_9017	1227	0.9968		True
Cluster_13501	1227	0.9968		True
Cluster_22907	1227	0.9968		True
Cluster_19037	1227	0.9968		True
Cluster_13746	1227	0.9968		True
Cluster_18083	1227	0.9968		True
Cluster_18459	1227	0.9968		True
Cluster_12268	1227	0.9968		True
Cluster_18445	1227	0.9968		True
Cluster_12057	1227	0.9968		True
Cluster_6836	1227	0.9968		True
Cluster_22909	1227	0.9968		True
Cluster_12217	1227	0.9968		True
Cluster_7661	1227	0.9968		True
Cluster_15653	1227	0.9968		True
Cluster_16050	1227	0.9968		True
Cluster_15447	1227	0.9968		True
Cluster_11171	1227	0.9968		True
Cluster_21484	1227	0.9968		True
Cluster_19725	1227	0.9968		True
Cluster_17326	1227	0.9968		True
Cluster_2052	1227	0.9968		True
Cluster_15942	1227	0.9968		True
Cluster_24314	1227	0.9968		True
Cluster_9553	1227	0.9968		True
Cluster_12976	1227	0.9968		True
Cluster_17088	1227	0.9968		True
Cluster_14769	1227	0.9968		True
Cluster_18595	1227	0.9968		True
Cluster_17958	1227	0.9968		True
Cluster_17521	1227	0.9968		True
Cluster_11272	1227	0.9968		True
Cluster_25234	1227	0.9968		True
Cluster_12575	1227	0.9968		True
Cluster_14828	1227	0.9968		True
Cluster_23056	1227	0.9968		True
Cluster_13704	1227	0.9968		True
Cluster_22188	1227	0.9968		True
Cluster_19402	1227	0.9968		True
Cluster_26026	1227	0.9968		True
Cluster_9924	1227	0.9968		True
Cluster_13758	1227	0.9968		True
Cluster_18096	1226	0.9959		True
Cluster_21810	1226	0.9959		True
Cluster_14479	1226	0.9959		True
Cluster_11000	1226	0.9959		True
Cluster_24086	1226	0.9959		True
Cluster_10261	1226	0.9959		True
Cluster_6079	1226	0.9959		True
Cluster_7481	1226	0.9959		True
Cluster_18637	1226	0.9959		True
Cluster_19948	1226	0.9959		True
Cluster_12049	1226	0.9959		True
Cluster_17228	1226	0.9959		True
